番号	出店タイトル	PR文	画像	企業紹介文	企業HPのURL	開催場所
1	一般社団法人　日本建設機械施工協会　重機部	重機が好きな心をここでカミングアウトしてください。あなたの「重機好き！」を、プロ集団が全力でバックアップします。	https://drive.google.com/file/d/1Hf8O2Nz2p_VdNXEmXRDOHKwto3GnVjgj/view?usp=drive_link	重機の面白さ、カッコよさをアピールし、建設業界への興味を持ってもらう「部活動」です。		AL1講義室
2	株式会社レックス	維持管理に必要な機械を使って、クイズに挑戦しよう！参加景品はうまい棒つかみ取り！ぜひお気軽にお越しください♪	https://drive.google.com/file/d/1TFK9FdbPgTk4e9JWIhAVoA9QSiBZLQM5/view?usp=drive_link	社会インフラの維持管理で、新潟県の安全を守っています！		eggルーム
3	大森機械工業株式会社	食品や日用品、医薬品など人々の暮らしに欠かせない大切なものを包む包装機をご紹介。 限りない未来に向けて包装の可能性を追求しております。	https://drive.google.com/file/d/1amsqr4VscD4Z72A4YW6lsqUXACsyycNN/view?usp=drive_link	包装機械メーカーのパイオニアとしてこれからも「包装」を通じて世界中の皆様の生活に貢献し続けます。		eggルーム
4	東レエンジニアリング株式会社	当社ブースでは、最先端技術とチーム力でお客様に最適なものづくりを提案する私たちの強みをご紹介します！	https://drive.google.com/file/d/1Qk_9olJENwwZM4imF1Dl-bN3QbKqDRft/view?usp=drive_link	半導体オブ・ザ・イヤーを4年連続受賞、技大OBが活躍するユニークな技術開発型企業です！		eggルーム
5	ユニオンツール株式会社	髪の毛に穴があくほど細いドリルを展示！豪華景品が当たるゲームも！インスタフォローでさらに景品プレゼント！	https://drive.google.com/file/d/1DhKX_UyN0wI3cKgFrMQlPMODfF1kOYcX/view?usp=drive_link	本質を探求し最先端のドリルで穴をあける！世界の"あたりまえ"を支えるPCBドリルのトップメーカー		AL1講義室
6	アルプスアルパイン株式会社	製品サンプル・映像あり！！電子部品や車載製品の魅力に触れよう！	https://drive.google.com/file/d/1O5fgCt_-b47y2_RDLOzkp5ohlQhmtKjI/view?usp=drive_link	人の感性に寄り添うテクノロジーで未来をつくる。電子部品、車載情報システムを手掛けています。		AL1講義室
7	JAMP  除雪足場メタバースプロジェクト	昨年、お子様に大好評でした安全教育のゲームを展示します。是非ご来場ください。足場ゲームのベストスコアを目指しましょう！	https://drive.google.com/file/d/1Hf8O2Nz2p_VdNXEmXRDOHKwto3GnVjgj/view?usp=drive_link	労働者不足の社会課題に対し、安全に作業する技術を検証する仮想空間を作っています。		AL1講義室
8	株式会社ナノアロイテクノロジー	フラーレンナノウィスカーと紙と鉛筆を使って、トランジスターを模擬したアルコールガスセンサーの作製に挑戦します。	https://drive.google.com/file/d/1CmhPbhwcz-4ftS83tligQL4RsNzEHC3l/view?usp=drive_link	新規多元素合金の開発の他、電子、医療、触媒等無数の用途を持つフラーレンナノウィスカーの合成と販売を進めます。		AL1講義室
