	
番号	出店タイトル	PR文	画像	開催場所	タグ	メニュー
講義棟207 G7	七宝焼作製体験	七宝焼のストラップやアクセサリーの作製や既製品購入ができます。七つの宝の如き美しさをあなたの手に。	https://drive.google.com/file/d/1B2mN6eu9jbWqBq86iDHhv4DFqmNPfstc/view?usp=drive_link	講義棟エリア	学生出店, 子供向け	七宝焼
B7	かわいいやさん	ハンドメイド・オリジナル商品を、日常使いできる物からお部屋に飾れる物まで幅広く販売しております！	https://i.imgur.com/YJtxexo.jpeg	図書館エリア	学生出店	オリジナルシール, ブックカバー, キーホルダー, 編み物, 雑貨, アクセサリー
B9	ロボットアームとガラスアート	サンドブラストで作ったガラスコップ販売します！あなただけの一点物をぜひ！	https://i.imgur.com/c9LcwnP.jpeg	図書館エリア	学生出店, 子供向け	ガラス加工品
講義棟208 G8	ぼっち・ざ・ふぉと！！	普段は“ぼっち”で撮ってる面々が展示会を開催！  今年からポストカードの販売も始めました！	https://drive.google.com/file/d/15bTQnv3mJpoO05mdGBubSaZ_pDHsw22y/view?usp=drive_link	講義棟エリア	学生出店	写真ポストカード
A6	出張、長岡大学	MOCHIMOGUさんのヒンヤリモチっとが特徴の冷やし大判焼きを販売します！気になった方はぜひ！	https://drive.google.com/file/d/1f74AzB8unv-Fnp-ASuX07iVmwm-73atc/view?usp=drive_link	事務棟エリア	学生出店	MUCHIMOGU(冷やし大判焼き)
D6	技大祭物販テント	技大祭の公式グッズと熱中症対策として飲み物を販売しています！楽しいお祭りのお供にいかがですか？	https://i.imgur.com/hJKEArR.jpeg	メインステージエリア	学生出店	飲み物
B8	NUT CAFE 物販の部	コーヒー豆やコーヒーかすを使用した消臭剤などを販売しております。ぜひお立ち寄りください。	https://drive.google.com/file/d/11DZsZzX_eZVIaeRAhVw9VPrXX8RBOmxH/view?usp=drive_link	図書館エリア	学生出店	
B6	光る！スーパーボールすくい	キラキラのスーパーボウルをゲットしよう！	https://drive.google.com/file/d/15xX3iq3_RLakY6apH05qCVny_UOKsmH-/view?usp=drive_link	図書館エリア	学生出店, 子供向け	
